municipalities,Province,Attraction,population
porto-azzurro,LI,G,3686
varallo-pombia,NO,P,4914
casalduni,BN,Q,1301
san-giovanni-in-fiore,CS,H,16852
bagheria,PA,P,54714
palagonia,CT,P,16488
raviscanina,CE,P,1288
piana-di-monte-verna,CE,P,2302
roccabascerana,AV,Q,2351
squillace,CZ,C,3652
feroleto-della-chiesa,RC,Q,1626
cerisano,CS,Q,3058
san-marcellino,CE,Q,14397
viareggio,LU,L1,62056
ari,CH,P,1142
casarano,LE,P,19976
potenza,PZ,E,66769
scordia,CT,P,16887
chiaravalle-centrale,CZ,P,5512
san-nicola-la-strada,CE,P,22615
lacco-ameno,NA,L2,4764
lentini,SR,P,23101
grimaldi,CS,Q,1643
brolo,ME,C,5773
cefalu,PA,G,14309
orta-di-atella,CE,P,27407
scaletta-zanclea,ME,Q,1972
mirabella-imbaccari,CT,P,4682
rodi-garganico,FG,L1,3619
san-marco-in-lamis,FG,P,13397
augusta,SR,C,35872
cancello-ed-arnone,CE,Q,5679
civitella-messer-raimondo,CH,Q,813
quindici,AV,Q,1894
rocca-di-neto,KR,Q,5638
cutro,KR,C,10410
cerreto-sannita,BN,P,3812
civitaluparella,CH,Q,320
barrafranca,EN,P,12800
offagna,AN,G,2025
carini,PA,P,39049
nocera-terinese,CZ,C,4800
calvi,BN,P,2627
villa-literno,CE,C,12324
botricello,CZ,C,5235
casteltermini,AG,P,7858
caivano,NA,Q,37554
belcastro,CZ,C,1302
mussomeli,CL,P,10405
villa-di-briano,CE,P,7200
prata-di-principato-ultra,AV,Q,2977
acate,RG,P,11431
montecorvino-pugliano,SA,P,10938
ciro-marina,KR,C,14715
lagonegro,PZ,H,5373
cariati,CS,C,8094
calvi-risorta,CE,Q,5687
tortorici,ME,P,6155
porto-empedocle,AG,C,16513
bagnara-calabra,RC,C,9979
milazzo,ME,C,31028
san-lucido,CS,C,6129
favara,AG,P,32059
san-felice-a-cancello,CE,Q,17395
san-paolo-di-civitate,FG,P,5711
melissano,LE,P,7064
san-lorenzo,RC,P,2546
acri,CS,P,20225
benevento,BN,B,59200
monteparano,TA,Q,2367
badolato,CZ,G,2939
cerda,PA,P,5130
casteldaccia,PA,P,11688
fragneto-labate,BN,Q,1010
brolo,ME,C,5773
portocannone,CB,P,2458
bellegra,RM,Q,2818
alife,CE,Q,7656
mazzarra-santandrea,ME,Q,1493
san-calogero,VV,Q,4128
castel-campagnano,CE,P,1501
amantea,CS,C,14082
argentera,CN,E,77
locri,RC,P,12421
corchiano,VT,P,3738
gioia-tauro,RC,P,20078
pizzo,VV,G,9278
muro-lucano,PZ,P,5304
azzano-mella,BS,Q,3394
chieuti,FG,C,1656
taurianova,RC,P,15458
san-mango-daquino,CZ,Q,1520
ardea,RM,C,49750
bovalino,RC,P,8943
cassaro,SR,Q,769
nicotera,VV,C,6208
sommatino,CL,P,6777
terni,TR,B,110749
riace,RC,C,2321
borgetto,PA,Q,7359
pignataro-interamna,FR,Q,2499
monreale,PA,B,38884
monte-porzio-catone,RM,P,8758
zagarise,CZ,P,1582
mandatoriccio,CS,C,2741
caserta,CE,B,75430
vizzini,CT,P,6029
aragona,AG,P,9362
villaricca,NA,P,31182
caulonia,RC,C,7119
bolognetta,PA,P,4194
cardeto,RC,Q,1521
campione-ditalia,CO,D,1961
bacoli,NA,F,26245
cassino,FR,B,36612
san-lorenzo-del-vallo,CS,P,3306
giarre,CT,P,27444
cancello-ed-arnone,CE,Q,5679
santa-marinella,RM,G,18933
carolei,CS,P,3335
bojano,CB,P,8033
montemiletto,AV,P,5248
partinico,PA,P,31840
marano-di-napoli,NA,Q,60163
catania,CT,A,311584
piedimonte-matese,CE,P,10835
melito-di-napoli,NA,P,37903
santagata-de-goti,BN,P,11028
magliano-romano,RM,Q,1402
castelvetrano,TP,G,31151
san-fratello,ME,Q,3523
fratte-rosa,PU,P,936
motta-san-giovanni,RC,C,6043
crucoli,KR,Q,2993
casandrino,NA,Q,13942
quarto,NA,Q,41351
lavagna,GE,C,12566
santarpino,CE,Q,14789
randazzo,CT,H,10712
dinami,VV,Q,2010
castrovillari,CS,P,21870
marineo,PA,P,6490
san-lorenzo-maggiore,BN,P,2098
cerchiara-di-calabria,CS,P,2324
paolisi,BN,P,2082
pachino,SR,P,22144
nola,NA,B,34593
briatico,VV,C,4358
pagani,SA,P,35538
rosolini,SR,P,21198
belvedere-marittimo,CS,G,9266
lucera,FG,P,32889
cosenza,CS,P,67270
portico-di-caserta,CE,Q,7905
massarosa,LU,L2,22322
morolo,FR,P,3257
condofuri,RC,G,4998
scanno,AQ,H,1767
riesi,CL,P,11291
caraffa-di-catanzaro,CZ,P,1800
ficarazzi,PA,P,13006
melito-di-porto-salvo,RC,P,11217
palombaro,CH,P,991
piazza-armerina,EN,H,21726
grumo-nevano,NA,Q,17900
belmonte-mezzagno,PA,Q,11238
ferruzzano,RC,Q,789
tursi,MT,P,4956
foppolo,BG,E,186
valle-di-maddaloni,CE,Q,2719
palizzi,RC,P,2393
casoria,NA,P,76791
leonforte,EN,P,12962
poggio-nativo,RI,Q,2549
buscemi,SR,P,1007
dragoni,CE,P,2105
grumo-appula,BA,P,12638
pietrastornina,AV,P,1495
arpino,FR,B,7093
brancaleone,RC,C,3542
altilia,CS,Q,696
santa-domenica-vittoria,ME,E,930
benestare,RC,Q,2533
aidone,EN,P,4825
ispica,RG,C,16317
trabia,PA,P,10496
acquappesa,CS,L2,1838
santagata-di-esaro,CS,Q,1807
maniace,CT,P,3747
decollatura,CZ,P,3137
militello-rosmarino,ME,Q,1269
mongiardino-ligure,AL,P,156
bisignano,CS,P,10051
santantimo,NA,P,33779
taormina,ME,G,10831
serra-san-bruno,VV,P,6584
amorosi,BN,P,2727
tora-e-piccilli,CE,Q,863
barrafranca,EN,P,12800
floridia,SR,P,22665
casignana,RC,C,737
luogosano,AV,P,1159
soveria-mannelli,CZ,Q,2995
guardiagrele,CH,P,8881
villa-san-giovanni,RC,C,13534
fiumefreddo-di-sicilia,CT,P,9438
palagonia,CT,P,16488
itala,ME,Q,1535
naro,AG,Q,7479
mariglianella,NA,Q,7921
frascati,RM,P,22657
canicatti,AG,P,35778
calatabiano,CT,C,5197
crosia,CS,P,9948
afragola,NA,P,64443
caltagirone,CT,H,37883
amendolara,CS,C,2883
bolognano,PE,P,1084
tortorici,ME,P,6155
carinola,CE,P,7342
joppolo,VV,C,1913
pedara,CT,P,14673
frignano,CE,Q,9153
ceretto-lomellina,PV,Q,188
casacanditella,CH,P,1250
gualtieri-sicamino,ME,Q,1710
malvagna,ME,Q,666
san-daniele-po,CR,Q,1347
noto,SR,G,24192
santo-stefano-roero,CN,Q,1370
pizzone,IS,Q,305
pietradefusi,AV,P,2309
graniti,ME,C,1469
paolisi,BN,P,2082
grotteria,RC,Q,3080
santa-venerina,CT,C,8533
santangelo-a-fasanella,SA,Q,555
niscemi,CL,Q,26627
isola-delle-femmine,PA,C,7155
petrosino,TP,C,8127
gioia-sannitica,CE,P,3533
ustica,PA,C,1318
montelanico,RM,P,2091
oliveri,ME,C,2113
mazzarino,CL,P,11633
chieti,CH,B,50646
pietrapaola,CS,C,1081
torrice,FR,P,4814
pietradefusi,AV,P,2309
caccamo,PA,Q,8081
orta-di-atella,CE,P,27407
chiaramonte-gulfi,RG,E,8128
volla,NA,P,24838
aci-catena,CT,P,29073
moio-alcantara,ME,Q,714
milo,CT,L1,1054
gela,CL,P,73854
bassiano,LT,Q,1508
barcellona-pozzo-di-gotto,ME,P,41221
genazzano,RM,P,5864
santalfio,CT,B,1570
camastra,AG,Q,2009
capizzi,ME,Q,3051
