municipality,province,year,"AGRICOLTURA, POLITICHE AGROALIMENTARI E PESCA",ANTICIPAZIONI FINANZIARIE,ASSETTO DEL TERRITORIO ED EDILIZIA ABITATIVA,DEBITO PUBBLICO,"DIRITTI SOCIALI, POLITICHE SOCIALI E FAMIGLIA",Disavanzo di amministrazione,ENERGIA E DIVERSIFICAZIONE DELLE FONTI ENERGETICHE,FONDI E ACCANTONAMENTI,GIUSTIZIA,ISTRUZIONE E DIRITTO ALLO STUDIO,ORDINE PUBBLICO E SICUREZZA,"POLITICHE GIOVANILI, SPORT E TEMPO LIBERO",POLITICHE PER IL LAVORO E LA FORMAZIONE PROFESSIONALE,RELAZIONI CON LE ALTRE AUTONOMIE TERRITORIALI E LOCALI,RELAZIONI INTERNAZIONALI,"SERVIZI ISTITUZIONALI, GENERALI E DI GESTIONE",SERVIZI PER CONTO TERZI,SOCCORSO CIVILE,SVILUPPO ECONOMICO E COMPETITIVITÃ€,SVILUPPO SOSTENIBILE E TUTELA DEL TERRITORIO E DELL'AMBIENTE,TOTALE SPESE,TRASPORTI E DIRITTO ALLA MOBILITA',TURISMO,TUTELA DELLA SALUTE,TUTELA E VALORIZZAZIONE DEI BENI E ATTIVITA' CULTURALI
BENEVENTO,BN,2017,0,59914481,7237597,4603406,6168584,NA,3708,0,192170,1399981,2637244,203362,0,0,0,17667066,16657988,381307,978639,18343413,147736026,10427544,1851,0,917686
MONTEPARANO,TA,2017,0,1325125,51100,132113,18787,NA,0,0,0,123738,126299,0,0,0,0,861059,202829,0,0,267996,3490986,370162,0,0,11778
BADOLATO,CZ,2017,0,0,186524,128216,179887,NA,268318,0,0,185206,38774,9000,0,0,0,1600322,1032063,0,121189,411537,4402060,240177,0,0,846
CERDA,PA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASTELDACCIA,PA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRAGNETO L'ABATE,BN,2017,0,0,538247,51795,2000,NA,0,0,0,45043,42096,0,0,0,0,726447,1767767,7357,0,448330,4385636,756553,0,0,0
BROLO,ME,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTOCANNONE,CB,2017,0,3720708,2708725,228293,4212071,0,31894,165909,0,163740,13749,16663,0,4449,0,972593,449310,0,7097,818403,13836309,296305,5524,0,20877
BELLEGRA,RM,2017,0,1872842,195518,242398,142396,NA,0,0,0,323522,125063,0,0,0,0,802263,482994,0,0,507505,4762211,67710,0,0,0
ALIFE,CE,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAZZARRA' SANT'ANDREA,ME,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAN CALOGERO,VV,2017,0,75454,42694,350555,35383,NA,0,0,0,58912,85142,1000,88548,0,0,826120,341116,0,0,863161,3036579,207324,1020,46589,13562
CASTEL CAMPAGNANO,CE,2017,0,1510144,434114,123696,30936,NA,21977,0,0,99456,64967,2113,0,0,0,469972,256936,37496,3698,273846,3593364,263179,0,0,833
AMANTEA,CS,2017,0,12320103,1977477,2201032,3645525,0,1132,3287636,1515,1784402,1282839,710122,550703,0,0,3620098,3452021,26305,1435531,16136135,60721487,7308108,379436,0,601369
ARGENTERA,CN,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCRI,RC,2017,0,0,208226,762050,615007,NA,0,0,272888,1008114,417457,22426,0,0,0,2986150,2922362,0,0,2660078,12658299,583855,47600,0,152087
CORCHIANO,VT,2017,0,3479303,123403,434528,372601,75494,139382,0,0,259019,164000,18927,0,0,0,1960405,626705,27689,0,1111864,8912081,83827,6000,0,104427
GIOIA TAURO,RC,2017,0,10015000,3357521,727944,1689938,0,0,100000,0,379253,346050,1030322,0,0,0,5803138,1561000,50000,39000,8828842,34171004,0,0,0,242996
PIZZO,VV,2017,0,191347,290268,630024,158102,NA,0,113260,762,225927,227061,69154,0,0,0,3314281,4876811,17035,0,3262083,13857318,416970,0,0,64232
MURO LUCANO,PZ,2017,57061,5123653,409816,126151,1693534,NA,294032,0,0,389210,197580,24882,0,0,0,1289679,2260540,0,29487,806675,13190073,303308,24603,0,159864
AZZANO MELLA,BS,2017,0,0,22302,238461,122673,NA,0,0,0,870337,48643,10952,0,0,0,1028152,296662,810,0,291852,3080897,146501,0,0,3552
CHIEUTI,FG,2017,0,144778,34074,112426,64844,NA,0,0,0,61045,66589,49445,0,0,0,776919,4493761,5754,176344,512597,6629753,127364,0,0,3813
TAURIANOVA,RC,2017,0,0,390659,624795,749104,NA,108626,0,2694,527769,377233,34347,0,0,0,3339291,17522194,88028,119629,1994038,26752168,838719,0,0,35041
SAN MANGO D'AQUINO,CZ,2017,0,662192,33444,73827,194206,NA,0,92723,0,56406,33864,106975,0,0,0,707215,1525316,0,0,395981,4486296,400990,150437,0,52720
ARDEA,RM,2017,0,140583,424973,2126822,3161061,NA,0,0,0,2430169,1123583,7000,0,0,0,9741092,3117333,32440,540543,9556245,33492368,1073713,15187,0,1623
BOVALINO,RC,2017,0,0,543980,118496,152306,NA,0,0,0,98124,118191,252494,0,0,0,1988881,591624,0,0,2905736,6817175,0,0,0,47344
CASSARO,SR,2017,0,195237,35157,50874,164376,NA,0,0,0,104115,44400,196,0,0,0,447028,1603734,1381,0,198889,2973051,66400,0,0,61264
NICOTERA,VV,2018,0,0,593791,305938,34131,NA,0,0,16955,208646,106412,2916,0,0,0,1367130,575845,310,0,1679442,4961774,0,0,0,70259
SOMMATINO,CL,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TERNI,TR,2018,553,120235078,13378945,14128404,29501420,1830471,0,0,257098,21360672,5216109,2959807,0,0,16856,60481866,51191576,3723054,1146244,50758918,405027716,23450889,744445,2154708,4321074
RIACE,RC,2018,0,0,290524,89717,2532851,NA,0,0,0,151399,90048,0,0,0,0,586052,257482,0,0,445339,4463412,0,0,0,20000
BORGETTO,PA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGNATARO INTERAMNA,FR,2018,0,3813089,0,496785,19582,NA,0,0,0,324791,108359,1418,0,0,0,550936,2060211,192,1000,104231,7714585,231815,0,0,2176
MONREALE,PA,2018,24196,6860025,695597,3540067,3254750,NA,0,0,6480,2259686,1173436,23917,0,0,0,12043914,31493352,147313,17740,7534320,71908053,2159534,115809,0,557919
MONTE PORZIO CATONE,RM,2018,11928,3563303,859827,537114,7343242,50566,0,314685,0,2428353,379012,126413,0,0,0,2733967,25544539,12800,9000,2230755,47511889,1064742,51491,0,300718
ZAGARISE,CZ,2018,380,1184955,40076,35225,22258,NA,0,0,1879,22293,68168,10861,0,0,0,537655,197171,0,0,216026,2601837,41563,34622,0,188706
MANDATORICCIO,CS,2018,0,4000000,655796,599419,46051,116060,746496,429538,0,120666,235147,78617,0,0,0,1743210,3617887,920,37020,2100418,15039302,586414,9003,0,32700
CASERTA,CE,2018,0,25000000,10397021,22322047,9498431,1861847,70000,573162,199171,5786753,5068943,543639,0,0,0,24970150,111460211,101435,983421,33335017,261650291,8505391,27922,0,2807577
VIZZINI,CT,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARAGONA,AG,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VILLARICCA,NA,2018,0,10999638,1056439,1957645,732127,NA,0,0,52158,882575,948501,1306,0,0,0,8163536,5964592,52948,2023,4962659,36946756,1056017,0,0,114594
CAULONIA,RC,2018,0,6317052,546097,510410,2127067,NA,0,0,0,372024,313811,6115,0,0,0,3072049,5403578,0,9002,1332985,20606994,0,0,0,596805
BOLOGNETTA,PA,2018,500,4684344,364205,256742,629383,0,0,0,0,919573,149001,16917,0,0,0,1923780,1478149,9485,34405,1039473,11999802,363349,25967,0,104529
CARDETO,RC,2018,0,300000,4421825,120875,692296,0,2472321,7000,0,138366,109352,34791,0,0,0,923653,1304218,15000,170383,1322932,12086199,0,20000,0,33187
CAMPIONE D'ITALIA,CO,2018,0,19034917,0,4457293,1506391,NA,0,0,498459,798294,2603739,118740,0,0,0,19040067,13671877,18001,0,489079,63488728,685998,267947,0,297927
BACOLI,NA,2018,0,23000000,2424384,2629190,3000057,1032810,0,794384,0,2667523,1914509,308238,0,0,0,8656447,11201000,111840,254708,13432222,75757310,4326079,865000,0,171730
CASSINO,FR,2018,0,3091096,754594,3067184,4839138,NA,0,0,284946,2087682,1053128,74713,0,0,0,7418041,3307996,71781,267458,7276891,36893389,3114419,0,0,184323
SAN LORENZO DEL VALLO,CS,2018,0,1634629,18358,421125,29497,NA,0,0,0,82563,172277,0,0,0,0,811599,900115,0,0,376811,4553552,85510,0,0,21070
GIARRE,CT,2018,14200,44267056,2748751,2435877,15833017,839543,6575,4643390,150614,2424000,2115637,332529,0,261,0,12638716,74152515,716265,350162,15718553,182323788,3210650,124473,0,440548
CANCELLO ED ARNONE,CE,2018,0,224935,8143,0,7834,NA,0,0,0,11096,226063,0,0,0,0,852971,468826,0,0,611524,2795910,21123,363395,0,0
SANTA MARINELLA,RM,2018,383,13019428,517669,1190699,1482270,NA,0,0,0,723526,671287,127367,0,0,0,8351941,4391382,13334,1025968,5209921,38944028,1914698,41903,0,262253
CAROLEI,CS,2018,0,0,13881,113679,150998,NA,19052,0,0,157660,40942,4919,0,0,0,777306,428250,5700,0,410345,2174958,46778,0,0,5449
BOJANO,CB,2018,3962,2680069,1012659,8604692,1752987,0,3945980,1340328,3579,3570339,307343,69034,0,0,0,2917891,11761059,169645,5196170,8105025,53488179,1910107,30288,0,107023
MONTEMILETTO,AV,2018,0,1578185,1170527,264486,588745,25673,0,87507,0,725609,207912,399430,0,0,0,2092353,11060864,4117,911005,2206126,23209404,1729420,165175,0,17943
PARTINICO,PA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARANO DI NAPOLI,NA,2018,0,24110772,1240702,3142999,3650303,NA,0,0,11027,1229311,2460731,0,0,0,0,6770189,9023255,27586,61533,15666828,69955518,2560281,0,0,0
CATANIA,CT,2018,0,449478806,4055168,48439492,52450382,NA,196601,0,1175777,17445695,27446020,4832478,169,0,0,100233100,453236742,581080,2753202,84706775,1329268032,73760101,661519,1628521,6186405
PIEDIMONTE MATESE,CE,2019,0,8000000,6037937,397717,1866773,385351,0,140000,165592,4332769,398134,2254368,0,0,0,6794000,11831904,495277,1000,5549991,48426532,68328,0,0,92741
MELITO DI NAPOLI,NA,2019,0,8703968,1039814,1205953,13191809,123045,1281083,300000,155000,1193715,811502,2405364,6667,0,0,6774355,16502030,2220,4095000,11924596,70499079,778645,0,0,127357
SANT'AGATA DE' GOTI,BN,2019,0,6678534,361958,661449,72499,NA,0,0,9430,380497,499468,0,14463,0,0,2863588,2173780,10772,8424,2305566,16240903,133000,49772,0,17703
MAGLIANO ROMANO,RM,2019,2647,1601514,693550,49929,93594,12219,0,5000,0,209706,67607,78312,0,0,0,646153,530280,0,0,410323,4394976,0,0,0,6363
CASTELVETRANO,TP,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN FRATELLO,ME,2019,9934,2707210,0,280624,54572,NA,0,0,0,433607,94379,152959,0,0,0,2100794,1503194,3992,0,710412,8180348,89879,0,0,38791
FRATTE ROSA,PU,2019,0,126693,8424,161596,36758,NA,0,0,0,94554,43271,59258,0,0,0,416635,209016,2652,5632,189972,1554673,185573,0,0,14639
MOTTA SAN GIOVANNI,RC,2019,24818,1208006,413312,362667,134879,152784,22756,24000,0,228388,240651,51282,0,6000,0,2362076,5316776,3000,300,5688030,17126655,963487,73929,0,2299
CRUCOLI,KR,2019,0,1983489,1358288,535122,1210864,111929,100000,377490,0,774455,169951,167973,0,0,0,1615207,877959,0,248,4436063,14629879,0,51572,0,971200
CASANDRINO,NA,2019,0,0,2700,282270,587035,NA,0,0,0,296570,770192,1941,0,0,0,2673068,1025024,25814,61616,1958250,8077143,392664,0,0,0
QUARTO,NA,2019,0,6117667,2521459,2628221,3244511,1414989,93282,100000,1308,725941,4445824,2873645,0,0,0,16832393,106710752,519836,331317,32050432,183674123,4476936,0,0,600
LAVAGNA,GE,2019,0,2475542,234565,3261952,1392586,NA,1362,0,0,800770,803923,132445,2763,0,0,3995610,5790891,8864,0,3238521,23087409,610390,126984,20684,189558
SANT'ARPINO,CE,2019,0,313144,772143,1612164,1029362,NA,0,0,0,299343,568077,48066,0,0,0,1845009,964044,35490,324,1935616,9603161,152371,0,0,28008
RANDAZZO,CT,2019,95547,6963037,188731,236737,745039,NA,0,0,11005,334250,411186,5735,0,0,0,3348974,3796705,3000,58830,2923347,19908317,667773,32785,0,85637
DINAMI,VV,2019,0,181126,263967,119195,60161,NA,0,0,0,321335,35075,0,0,0,0,455801,577487,0,0,353921,2374295,0,0,0,6227
CASTROVILLARI,CS,2019,700,4999043,922454,2999494,983798,NA,0,0,31335,807127,654730,85170,0,0,0,4669848,2238587,8879,70475,4345116,23631920,508195,113051,0,193917
MARINEO,PA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAN LORENZO MAGGIORE,BN,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERCHIARA DI CALABRIA,CS,2019,0,1127810,3095160,377085,1653975,0,259274,0,1030,766143,156573,746305,0,534,0,2837284,8984755,0,10374,2609876,30973245,2988085,2122177,0,3236807
PAOLISI,BN,2019,0,948210,1800,0,8708,NA,0,0,0,48605,112082,0,0,0,0,1133677,427539,0,0,8201,2688822,0,0,0,0
PACHINO,SR,2019,180059,13025284,3019876,23620158,7136312,994979,0,80000,14399,1540441,1061903,1552863,0,0,0,8891289,19750143,1632462,84611,18161714,100733285,63001,268588,0,650181
NOLA,NA,2019,0,0,1554939,2443685,2817784,NA,0,0,0,791979,1618077,24126,0,0,0,9980725,27259432,3016,245199,6792970,56168171,2096529,23300,0,516410
BRIATICO,VV,2019,0,0,656925,233675,5934,NA,0,0,0,287068,104181,0,0,0,0,576941,504712,0,0,1473189,3842624,0,0,0,0
PAGANI,SA,2019,0,4800000,965345,1132451,12648750,1185500,0,0,0,13500317,1833731,948255,0,0,0,8512096,10693415,48679,445763,28732834,91528224,6917783,243983,0,104822
ROSOLINI,SR,2019,2964,14131352,205338,1582397,789017,NA,0,0,44,474572,645220,14200,0,0,0,3558317,2494019,5427,249819,3950437,28280225,0,19787,0,157316
BELVEDERE MARITTIMO,CS,2019,0,8022517,778925,438900,198885,NA,0,0,11487,415162,618479,55397,0,0,0,2203056,1327947,46884,25166,2674557,17413744,520440,60230,360,15354
LUCERA,FG,2019,138121,17632018,36260,1867928,3586764,NA,437692,0,0,766602,1118021,545,0,0,0,11524273,5623070,133234,269168,5112348,49796742,1069636,4375,0,476688
COSENZA,CS,2019,0,49439296,5486215,12104567,8597558,NA,0,0,472153,2675163,5590043,986330,0,0,0,24629641,43674302,542913,831207,23228026,184564537,2208282,114049,0,3984791
PORTICO DI CASERTA,CE,2019,0,2672800,23060,216085,148410,NA,0,0,0,294015,239731,22210,62844,0,0,933596,1553107,0,0,1173667,7718330,378706,0,0,100
MASSAROSA,LU,2019,0,16002340,988458,1342602,2496878,NA,39791,0,0,3360778,698878,265652,0,0,0,5079324,2697448,198107,156366,4178589,38580965,899547,33585,0,142622
MOROLO,FR,2019,0,3318508,159742,368555,394264,NA,0,0,0,249565,79460,107152,0,0,0,686918,360047,0,0,422971,6450668,210238,5151,0,88099
CONDOFURI,RC,2019,0,2809377,16820,451146,495639,NA,0,0,0,255741,0,134936,0,0,0,1101996,693721,0,0,1032603,7363575,136573,142472,0,92550
SCANNO,AQ,2019,0,2002500,14592,267471,354000,14733,0,24187,0,391730,72404,43715,0,0,0,1245522,594325,0,750,1055717,7042964,369522,370699,7227,228601
RIESI,CL,2019,17558,6374499,661940,435869,993520,NA,0,0,0,307094,188081,69371,0,0,0,2436082,4555225,2532,36794,1523545,17704507,27901,0,0,74496
CARAFFA DI CATANZARO,CZ,2020,170160,850000,855864,132889,170115,48063,0,91982,0,3268064,244954,19034,0,0,0,1394292,853687,3000,46387,1146705,9926048,622861,0,0,56053
